"feature","coefficient"
"band_3",-0.00224315380071425
"band_7",-0.00346799882658758
"band_6",-0.0121533665813124
"band_2",0.00430367496902291
"band_4",-0.0100812747703765
"band_1",-0.00258222934758292
"band_10",0.000301302516875998
"band_77",-0.0012456764668247
"band_78",-0.000842275485411157
"band_79",-0.000182232611835165
"band_75",-0.00135388573979716
"band_76",-0.00160793641609001
"band_81",0.00092132373521395
"band_80",7.54858629200858e-05
"band_73",-0.000753064412635521
"band_74",-0.00144220281398536
"BSI_1",-0.0161135557811867
"BSI_2",0.0273779678862144
"BSI_3",-0.0115589784700401
"BSI_4",-0.0107472921598689
"BSI_5",-0.0190546147250087
"BSI_6",0.0231135537724549
"BSI_7",-0.00434468441597745
"BSI_8",-0.00576334146776523
"BSI_9",-0.00788365570407815
"BSI_10",-0.0257710463682558
"BSI_11",-0.00604809609006141
"BSI_12",-0.00749876867070372
"BSI_13",-0.00485547451814915
"BSI_14",-0.0024551568019691
"BSI_15",-0.00482357118643495
"stage_10",0.0125885450983073
"stage_20",0.0237183233926218
"stage_30",-0.00508734448966408
"stage_40",-0.0104719876834172
"stage_50",-0.0212123298410817
"stage_C",0.00375055775313446
